Source,Species,Date_Received,Date_Fragmented,Size,Tag_ID,Initials,Date_Removed,Reason,Initials,Notes
OSA,Pocillopora_damicornis,20230410,20230516,Plug,84,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230516,Plug,85,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230516,Plug,86,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230516,Plug,87,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230516,Plug,88,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230516,Plug,89,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230516,Plug,90,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230515,Plug,91,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230516,Plug,92,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230606,Plug,93,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230516,Plug,94,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230516,Plug,95,LZ,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230606,Plug,96,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230606,Plug,97,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230606,Plug,98,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230606,Plug,99,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230606,Plug,100,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230606,Plug,101,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230606,Plug,102,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230606,Plug,103,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230606,Plug,104,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230606,Plug,105,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230606,Plug,106,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230606,Plug,107,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230606,Plug,108,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230607,Plug,109,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230607,Plug,110,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230607,Plug,111,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230607,Plug,112,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230607,Plug,113,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230607,Plug,114,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230607,Plug,115,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230607,Plug,116,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230607,Plug,117,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230607,Plug,118,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230607,Plug,119,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230607,Plug,120,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230607,Plug,121,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230607,Plug,122,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230607,Plug,123,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230607,Plug,124,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230607,Plug,125,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230607,Plug,126,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230607,Plug,127,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230607,Plug,128,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230607,Plug,129,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230607,Plug,130,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230607,Plug,131,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230607,Plug,132,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230607,Plug,133,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230607,Plug,134,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230607,Plug,135,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230607,Plug,136,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230607,Plug,137,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230607,Plug,138,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230607,Plug,139,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230607,Plug,140,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230607,Plug,141,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230607,Plug,142,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230607,Plug,143,FF,,,,to be rechecked by Zoe
OSA,Pocillopora_damicornis,20230410,20230607,Plug,144,FF,,,,to be rechecked by Zoe
